Identifier	Character	Dialogue	Filename	Line Number
scene1_c4e0e83f		Leave it to Yumi to misunderstand the subtle nuances of my existence. I guess I’ll have to spell it out in big, bold letters.	game/scripts/parsed_01 scene1.rpy	204
scene1_db3801c1	pro	Hmph! You won’t be making such trite quips for long, dear sister!	game/scripts/parsed_01 scene1.rpy	209
scene1_42da3d85	pro	For you see… I will be summoning a demon into this realm!	game/scripts/parsed_01 scene1.rpy	212
scene1_549dc118	sis	Wait… ‘summoning a demon…?’	game/scripts/parsed_01 scene1.rpy	219
scene1_b28ddfed	pro	Of course! It will be an all-powerful, almighty soldier of Hell who will follow my orders without question!	game/scripts/parsed_01 scene1.rpy	224
scene1_42ced96d	pro	With its power, I will lay waste to my enemies and conquer the world!	game/scripts/parsed_01 scene1.rpy	229
scene1_87a29c12	sis	You really think an all-powerful demon would follow a scrawny thing like you?	game/scripts/parsed_01 scene1.rpy	236
scene1_a48795cb		Ignore that comment, Sebastian. She knows not the forces she is dealing with.	game/scripts/parsed_01 scene1.rpy	240
scene1_1c9ea43a		I wouldn’t be surprised if she doesn’t have a single idea of what I was talking about, either.	game/scripts/parsed_01 scene1.rpy	241
scene1_630f4d91	sis	Who was that ‘degenerate fool’ you were talking about anyways?	game/scripts/parsed_01 scene1.rpy	248
scene1_f2f32124	pro	Huh!?	game/scripts/parsed_01 scene1.rpy	251
scene1_0b58a0eb		Welp, spoke too soon.	game/scripts/parsed_01 scene1.rpy	255
scene1_fed13af4	pro	Y-You mean you were listening in on me!?	game/scripts/parsed_01 scene1.rpy	258
scene1_3301a135	sis	Uh, yeah; kinda hard not to when I could hear you from anywhere in the house.	game/scripts/parsed_01 scene1.rpy	262
scene1_763afda9		Dammit, I was a fool to do my monologuing in the bathroom! Are there any safe havens left in this cruel world? Is nothing sacred!?	game/scripts/parsed_01 scene1.rpy	266
scene1_22b6172a	pro	Th-That is none of your concern! I assure you, I will have everything dealt with in due time!	game/scripts/parsed_01 scene1.rpy	269
scene1_6eebcdb8	sis	Look, I don’t really care what you do with this whole ‘dark lord’ business, but just try to keep yourself from doing anything stupid, alright?	game/scripts/parsed_01 scene1.rpy	275
scene1_33066b6f	sis	Mom and Dad may be off to Kamakura for awhile, but that doesn’t give you carte blanche to make a mess of things while they’re gone.	game/scripts/parsed_01 scene1.rpy	280
scene1_bde96842	sis	So… just try to behave yourself, okay?	game/scripts/parsed_01 scene1.rpy	286
scene1_81945b55	pro	Sure...	game/scripts/parsed_01 scene1.rpy	289
scene1_597a3a0c		Satisfied with my response, Yumi walks away without another word…	game/scripts/parsed_01 scene1.rpy	294
scene1_6c35c1b9		...She leaves me there, stewing in my own embarrassment. My mortal sibling has to butt in every chance she can get, doesn’t she?	game/scripts/parsed_01 scene1.rpy	295
scene1_77191b43		I can practically see the headlines: ‘Dark Overlord of Destruction Stopped by Nagging Sister!’ It’s enough to make me vomit.	game/scripts/parsed_01 scene1.rpy	296
scene1_a3f81447		But nothing is going to stop me now. Not even the one mortal who knows my thousand-year history on this Earth.	game/scripts/parsed_01 scene1.rpy	297
scene1_737c0907		I have everything I need to perform the summoning… Now all that’s left is to perform the incantations.	game/scripts/parsed_01 scene1.rpy	298
scene1_51fc0acb		I glance back to my reflection in the bathroom mirror and give it a knowing, sinister smirk.	game/scripts/parsed_01 scene1.rpy	299
scene1_bfa31a19	pro	Plain old Makoto will behave himself - but Sebastian Wolfgang IV cannot be held down by mere mortals.	game/scripts/parsed_01 scene1.rpy	302
scene1_4ea540a9		With confidence surging through me, I began walking towards my destiny…	game/scripts/parsed_01 scene1.rpy	305
scene2_ef06d89b		Today is a new day. If I am to overcome the trials that stand before me, I must redouble my efforts.	game/scripts/parsed_02 scene2.rpy	6
scene2_be22371c		In order to hone the darkest magics from beyond the spiritual plane, I've had to resort to more... {i}drastic{/i} methods.	game/scripts/parsed_02 scene2.rpy	7
scene2_fe3b2ea1		We are as mortals, after all. Without the blessings of the auspicious, we are as clay in the mud - without form, without the spark of divinity.	game/scripts/parsed_02 scene2.rpy	8
scene2_77fcd87e		I am only a man; granted, one that has witnessed a millenia of barbarism, but I'd probably need a little help.	game/scripts/parsed_02 scene2.rpy	9
scene2_8c5be5a8		The preparations are complete. The stars have aligned. The time to act is now.	game/scripts/parsed_02 scene2.rpy	10
scene2_aad6a2d7	pro	Ah… everything is proceeding just as I have foreseen. What an absolute thrill!	game/scripts/parsed_02 scene2.rpy	15
scene2_f2e0409d		I have repurposed my parents’ garage to serve as an altar for the blackest of dark arts.	game/scripts/parsed_02 scene2.rpy	17
scene2_e0f0a5c4		They… probably won't mind - I hope. To be safe, I'll clean up before they get back.	game/scripts/parsed_02 scene2.rpy	18
scene2_aea751c2		In all likelihood, they're engaging in {i}some{/i} kind of wicked vice regardless. They're off in Kamakura, doing whatever it is adults do on their anniversary.	game/scripts/parsed_02 scene2.rpy	19
scene2_12a1517b		The garage’s design is perfect for my aspirations. I have been burning incense for the past fifteen minutes in preparation...	game/scripts/parsed_02 scene2.rpy	20
scene2_0cd37cd2		A white and a black candle are placed on two sides. The white, symbolizing the hypocrisies of those who would deride the darkest magics…	game/scripts/parsed_02 scene2.rpy	21
scene2_38eda763		...And the black candle, to serve as a representation {i}of{/i} those darkest magics. Balanced in equilibrium.	game/scripts/parsed_02 scene2.rpy	22
scene2_35425e19		And, upon completion, I need only to raise the doors and release this ashen hellfire upon the world.	game/scripts/parsed_02 scene2.rpy	23
scene2_0437cdc7	pro	Ufufufu~ Sometimes, my foresight’s pristine clarity terrifies even me!	game/scripts/parsed_02 scene2.rpy	26
scene2_3e259965		It’s as if I can witness the threads of fate coiling before me - as if I can reach in and twist them to my eldritch whims.	game/scripts/parsed_02 scene2.rpy	28
scene2_e77f64db		My plan is simple: while I have not gathered enough power to shed the trappings of this mortal husk…	game/scripts/parsed_02 scene2.rpy	29
scene2_69f67f24		...There are greater powers to consult.	game/scripts/parsed_02 scene2.rpy	30
scene2_4dfaaeaa		I will make an offering to the Dark One, then consort and make a bargain for yet greater power - power that will overcome the greatest tribulation I have encountered yet.	game/scripts/parsed_02 scene2.rpy	31
scene2_322ebbc8		The cost is of no concern. I am already a demon.	game/scripts/parsed_02 scene2.rpy	32
scene2_60ff3933	pro	...Pity I had to make some {i}adjustments,{/i} to the designs of this ritual.	game/scripts/parsed_02 scene2.rpy	37
scene2_252deddd		Performing an invocation on a student budget is a challenge, after all. Sacrifices were necessary - and not the fun ones.	game/scripts/parsed_02 scene2.rpy	39
scene2_9bce7c05		I’m afraid a chalice crafted from genuine silver was… too decadent for this humble practitioner of black magic.	game/scripts/parsed_02 scene2.rpy	40
scene2_071cfc79		Spray-painting an ordinary chalice with silver paint, however, proved to be a more affordable alternative.	game/scripts/parsed_02 scene2.rpy	45
scene2_e710ae49		A show of thriftiness that would please Mammon of Greed himself.	game/scripts/parsed_02 scene2.rpy	46
scene2_623e82a1		...I ended up spray-painting most of the items for use in this ritual. I hope the fumes don't make me dizzy.	game/scripts/parsed_02 scene2.rpy	47
scene2_73aa39aa		At least dressing for the occasion isn't a problem. I have plenty of black to wear.	game/scripts/parsed_02 scene2.rpy	48
scene2_4a9a2dbe		And at the very least, procuring a pentagram was easy on the wallet.	game/scripts/parsed_02 scene2.rpy	52
scene2_01fd6803		It is drawn in salt - a traditional preparation of sorcerers. Its purpose? To assert dominance over the forces of chaos, to bring order to these unconquerable forces.	game/scripts/parsed_02 scene2.rpy	53
scene2_62988d6d	pro	...Oh, right, speaking of sodium.	game/scripts/parsed_02 scene2.rpy	56
scene2_8e4c2c4a		I reach for something I've been keeping in a nearby fridge.	game/scripts/parsed_02 scene2.rpy	58
scene2_c0f27be8		They say you're supposed to use blood for this sort of thing, but I… I'm a little squeamish around that kind of stuff.	game/scripts/parsed_02 scene2.rpy	59
scene2_21de5e1c		So I got tomato juice instead. I'm kind of hoping it's a decent substitute.	game/scripts/parsed_02 scene2.rpy	63
scene2_406a0d39		I mean, I could use someone else's blood. My sister wasn't too thrilled with the idea, though.	game/scripts/parsed_02 scene2.rpy	64
scene2_bf53adc8		...She actually smacked me. My head's still ringing from that.	game/scripts/parsed_02 scene2.rpy	65
scene2_29d83f2b	pro	Well, it's organic, at least, so… I hope demons like this.	game/scripts/parsed_02 scene2.rpy	68
scene2_9bc67d42		Cracking open a can, I pour some of the thick, red blood-substitute into a little dish.	game/scripts/parsed_02 scene2.rpy	74
scene2_70c03760		Taking two fingers, I paint a circle with it. Perfect. It's large enough for me to comfortably occupy.	game/scripts/parsed_02 scene2.rpy	75
scene2_4e126bb9		Everything is almost ready. I can feel my hands tremble in anticipation, but I must remember to calm myself.	game/scripts/parsed_02 scene2.rpy	76
scene2_1b81d3b9	pro	Ah, one more thing. I must preserve this auspicious moment. It shall serve as a portrait of my tireless preparations.	game/scripts/parsed_02 scene2.rpy	79
scene2_3ede4532		Taking out my phone, I open the camera app, and ready the lens…	game/scripts/parsed_02 scene2.rpy	81
scene2_a7264c44		Good. Proper, unedited evidence in its purest form.	game/scripts/parsed_02 scene2.rpy	85
scene2_c3fe136b	pro	This will do nicely.	game/scripts/parsed_02 scene2.rpy	88
scene2_749b119f	pro	...Ah, wait, no filters. Filters are ugly and pedestrian.	game/scripts/parsed_02 scene2.rpy	91
scene2_f7ac21fa	pro	...What am I even doing?	game/scripts/parsed_02 scene2.rpy	94
scene2_3f4267ba	pro	Alright, alright, let's chill for a bit. Gotta get into the right mindset.	game/scripts/parsed_02 scene2.rpy	97
scene2_32c34e23		As if possessed, my hands make a myriad of movements, casting a spell to protect myself from charms and other nebulous incantations. Safety first, after all.	game/scripts/parsed_02 scene2.rpy	102
scene2_681585ef		Alright, I think I'm {i}finally{/i} ready.	game/scripts/parsed_02 scene2.rpy	103
scene2_15f47c88		I turn off the lights, leaving only candles to illuminate my makeshift altar.	game/scripts/parsed_02 scene2.rpy	108
scene2_cb060bca		Finally, I lock the door behind me. This is it. The die has been cast.	game/scripts/parsed_02 scene2.rpy	111
scene2_1b79e022		Clasping my hands together once more, I bow my head and kneel. It is time to recite the incantation.	game/scripts/parsed_02 scene2.rpy	112
scene2_667c299b	pro	...Shit, how does the Latin part go again? Uh…	game/scripts/parsed_02 scene2.rpy	115
scene2_787419ce	pro	'In… In nomine... Dei nostri Satanas... Luciferi ex… excelsi?	game/scripts/parsed_02 scene2.rpy	119
scene2_a9472d0d		...Eh. Close enough. Latin's a dead language - and it's dead for a damn good reason.	game/scripts/parsed_02 scene2.rpy	121
scene2_faee4d32		At least I'm decent enough in my English classes to handle the rest. I take another breath…	game/scripts/parsed_02 scene2.rpy	122
scene2_76e311e1	pro	'In the name of Satan, the ruler of the Earth and king of the world…'	game/scripts/parsed_02 scene2.rpy	125
scene2_4259002b	pro	'...I command the forces of darkness to bestow their infernal power upon me!'	game/scripts/parsed_02 scene2.rpy	128
scene2_c2f73be3		I feel a low breeze caress my face. I'm not even done with the invocation.	game/scripts/parsed_02 scene2.rpy	132
scene2_7f6b6bf8		Blinking, I refocus, though it's… a hell of a coincidence.	game/scripts/parsed_02 scene2.rpy	133
scene2_1d1d2091	pro	O, open wide the gates of Hell and come forth from the abyss, to… to greet me as your brother and friend!	game/scripts/parsed_02 scene2.rpy	136
scene2_62e1d9ba		Wh-What was that? Is there an earthquake!?	game/scripts/parsed_02 scene2.rpy	142
scene2_9a086e96		C'mon Makoto, wrap it up!	game/scripts/parsed_02 scene2.rpy	143
scene2_281b1a26	pro	Grant me the — {i}w-whoa{/i} -— the in… the indulgences of which I speak! Come... Come forth and answer to your names by… by manifesting my d-desires!	game/scripts/parsed_02 scene2.rpy	146
scene2_6327d46e	pro	...Please?	game/scripts/parsed_02 scene2.rpy	149
scene2_ed148caf		A strong gust of wind knocks me to the floor.	game/scripts/parsed_02 scene2.rpy	154
scene2_e5fd1536		I sprawl for a few precious moments, before reorienting myself.	game/scripts/parsed_02 scene2.rpy	155
scene2_ebfe3669	pro	..What… What is the meaning of this?	game/scripts/parsed_02 scene2.rpy	160
scene2_ef5be470		The candles stubbornly remain aflame, despite the stormy conditions. A feeling of utter dread washes over me.	game/scripts/parsed_02 scene2.rpy	162
scene2_4e4e28a4	sis	{b}What the {i}hell{/i} are you doing in there, Makoto!? You better not be making a mess!{/b}	game/scripts/parsed_02 scene2.rpy	167
scene2_e6f59e47		That feeling of dread intensifies. The icy blasts of wind buffet my face; my boney hands clench against the asphalt.	game/scripts/parsed_02 scene2.rpy	169
scene2_a750b67a		The realization of what I have triggered finally hits me like a stack of bricks. The ebony shadows dancing against the candle-lit walls taunt me.	game/scripts/parsed_02 scene2.rpy	170
scene2_83a7ea30		This is it. I've cause the end of the world as we know it. I've granted passage to the Dark Lord Satan himself.	game/scripts/parsed_02 scene2.rpy	171
scene2_463e7079	sis	{b}If you’re performing another one of your stupid seances or whatever, it’s {i}not funny!{/i} I’m gonna tell Mom and Dad!{/b}	game/scripts/parsed_02 scene2.rpy	174
scene2_48b28d89	pro	...Shit! This… This isn't good…!	game/scripts/parsed_02 scene2.rpy	177
scene2_060d7770		All I can do is grit my teeth and bow my head - to wait and behold the undoing of reality itself.	game/scripts/parsed_02 scene2.rpy	179
scene2_f190b5ad		The Lord of All Evil himself is about to make his grand entrance. I can only hope he will take pity on me for my foolishness.	game/scripts/parsed_02 scene2.rpy	180
scene2_30becb7d		The stimuli continue to assault and overwhelm me.	game/scripts/parsed_02 scene2.rpy	181
scene2_c1fe69ff		I can hardly differentiate the screeching winds from my elder sister’s incontinent screaming.	game/scripts/parsed_02 scene2.rpy	182
scene2_089740c0		Overwhelmed by the power, I close my eyes. Perhaps if I become acutely aware, I will wake up from this horrible nightmare.	game/scripts/parsed_02 scene2.rpy	186
scene2_553b1e92		I would cast aside my thousand-year career as a practitioner of the dark arts if this were all to be some foolish boy’s warped vision!	game/scripts/parsed_02 scene2.rpy	187
scene2_4d80f30b	pro	Nn… This wasn't what was supposed to…	game/scripts/parsed_02 scene2.rpy	190
scene2_6a16f3ca	pro	Shit, {b}Shit…!{/b}	game/scripts/parsed_02 scene2.rpy	193
scene3_a266e862		And suddenly, everything went quiet. An incense-filled smokiness hung in the air.	game/scripts/parsed_03 scene3.rpy	8
scene3_3b0d0a5c		This didn't feel like a dream. It was all too real - down to every grain of salt beneath me.	game/scripts/parsed_03 scene3.rpy	9
scene3_5ec3cfbd		I suppose I ruined the pentagram, but that was the least of my concerns.	game/scripts/parsed_03 scene3.rpy	10
scene3_d5ee3431		I could feel a presence in the pitch-black garage, but even with all of the meditation and seances I performed, my eyes had not the power to pierce the ebony veil.	game/scripts/parsed_03 scene3.rpy	11
scene3_aecbcfde		My breath was still. I knew I locked the garage door.	game/scripts/parsed_03 scene3.rpy	12
scene3_16d375e6		So, who got in here?	game/scripts/parsed_03 scene3.rpy	13
scene3_87c63026	pro	...	game/scripts/parsed_03 scene3.rpy	16
scene3_6d73846a		The realization hit me: it wasn't a question of {i}who{/i}, but of what.	game/scripts/parsed_03 scene3.rpy	18
scene3_b69ff3fd		A chill drifted down my spine. My attention immediately focused on the sound of footsteps against the asphalt.	game/scripts/parsed_03 scene3.rpy	19
scene3_16026e84		Left foot? Right foot? It was drawing ever closer…	game/scripts/parsed_03 scene3.rpy	23
scene3_44567de1		The presence was… unspeakably powerful. And it was drawing closer still.	game/scripts/parsed_03 scene3.rpy	24
scene3_8710ad30		Oh God, please don't hurt me!	game/scripts/parsed_03 scene3.rpy	25
scene3_b99e9120		I could feel its raspy breath on my neck…	game/scripts/parsed_03 scene3.rpy	26
scene3_4f3ae263	q	Wow! Tomato juice! Did you get this for me?	game/scripts/parsed_03 scene3.rpy	32
scene3_3d33b070	pro	...	game/scripts/parsed_03 scene3.rpy	35
scene3_44ea17ab	pro	T-Tomato… juice…?	game/scripts/parsed_03 scene3.rpy	38
scene3_88ea9302	q	Oh, hey, this is, like, an offering, right? Oh, you're such a sweetheart!	game/scripts/parsed_03 scene3.rpy	41
scene3_1cb9d9c3	q	Tomato juice is my favourite! Y'know it's rich in Vitamin A, right?	game/scripts/parsed_03 scene3.rpy	44
scene3_fe2e1aba	q	The other girls make fun of me because it's so sodium-rich and I need to watch my figure…	game/scripts/parsed_03 scene3.rpy	47
scene3_0f7339a7	q	...But I think it's perfectly alright to indulge in your favourite things every now and then, isn’t it?	game/scripts/parsed_03 scene3.rpy	50
scene3_36a64adf		I couldn't make out this person's face through the darkness, but the presence and the voice matched.	game/scripts/parsed_03 scene3.rpy	52
scene3_c186c58b		Were they one and the same? What's the meaning of this…?	game/scripts/parsed_03 scene3.rpy	53
scene3_3dc37ba5	q	Hey, is there a light in here? Oh, it's over here! Lemme just get that~!	game/scripts/parsed_03 scene3.rpy	56
scene3_eb835d0b		The lights flickered back to life…	game/scripts/parsed_03 scene3.rpy	61
scene3_aa642874		...And before me was an… an oddly dressed girl?	game/scripts/parsed_03 scene3.rpy	67
scene3_90884ecd		She was dressed in something I could only describe as... something from a tacky magical girl anime.	game/scripts/parsed_03 scene3.rpy	68
scene3_905d93b2		Somehow, it seemed to suit her just fine. She was smiling so giddily the entire time, and could hardly stay still.	game/scripts/parsed_03 scene3.rpy	69
scene3_7fe01b73		The girl’s grin felt familial - like she was a long-time neighbour.	game/scripts/parsed_03 scene3.rpy	70
scene3_81e5c914		...And she also had… devilish horns and bright red skin?	game/scripts/parsed_03 scene3.rpy	71
scene3_74421b08		Oh. {i}Oh{/i}. ...What?	game/scripts/parsed_03 scene3.rpy	72
scene3_9212fdbd		This… {i}definitely{/i} wasn't good. I’m not sure why I didn't notice those features earlier, though...	game/scripts/parsed_03 scene3.rpy	73
scene3_e0c578d4	q	Y'know, I really appreciate you bringing me tomato juice!	game/scripts/parsed_03 scene3.rpy	77
scene3_69d36efa	q	Because, you see, a lot of people end up doing really gross and creepy things, like using {i}blood{/i} or some ghastly thing like that…	game/scripts/parsed_03 scene3.rpy	81
scene3_99f83e0d	q	And they're usually from some poor creature that did nothing wrong… Don't you think that's the saddest thing?	game/scripts/parsed_03 scene3.rpy	85
scene3_ffceaf73	q	Like, I feel like, sometimes, people don't really {i}get{/i} me… but you do, don't you?	game/scripts/parsed_03 scene3.rpy	89
scene3_8b315551	pro	Who... Who are you…?	game/scripts/parsed_03 scene3.rpy	93
scene3_4639b481	q	...	game/scripts/parsed_03 scene3.rpy	97
scene3_7e2c1b69	q	...Ihihi!~	game/scripts/parsed_03 scene3.rpy	101
scene3_f68b910f		That laugh would've sounded cute and inviting in any other circumstance, but before this disastrous altar, it was chilling.	game/scripts/parsed_03 scene3.rpy	103
scene3_6fcd4813	q	You really don't know who I am, Makoto…?	game/scripts/parsed_03 scene3.rpy	107
scene3_414ab14a	pro	Wha… How do you know my name?	game/scripts/parsed_03 scene3.rpy	111
scene3_f3664ae0	q	Oh I know a lot of things! It's because I have a lot of responsibilities to attend to.	game/scripts/parsed_03 scene3.rpy	115
scene3_26022da5	q	Ahhh, but I guess if you're some country yokel, you probably wouldn't recognize me…	game/scripts/parsed_03 scene3.rpy	119
scene3_67494035	q	It's okay, it's okay! I'll reintroduce myself, how's that?	game/scripts/parsed_03 scene3.rpy	123
scene3_de8717b3	pro	C-Country yokel…?	game/scripts/parsed_03 scene3.rpy	127
